tick,wind,sun,s1,s3,s4,s5,s6,s7,s8,s9,sA,sB,sC,sD,sE,sF,sG,sH,sI,sJ,sK,sL,sM,sN,sO,sP,a1,a2,a3,a4,a5,a6,a7,a8,a9,aA,aB,aC,aD,aE,aF,aG
72,13.185620332006852,10.362963892895726,3.28125,5.44921875,5.361328125,4.0869140625,5.2734375,5.625,6.1376953125,5.4345703125,4.3212890625,4.51171875,5.5517578125,5.91796875,5.5517578125,4.6142578125,4.74609375,5.6689453125,6.2841796875,5.4931640625,4.2626953125,4.248046875,6.0498046875,6.2109375,5.830078125,4.4970703125,14.82490450143814,15.0,10.412004258897571,4.999958910048008,0.35259458753797757,1.5129888844158916,1.6435375437140465,1.9267382514145648,0.29584341165092265,0.7869029003712869,0.23621082719829353,0.5820062425401477,8.0843973490927e-3,0.18518366333511146,0.31774915340873944,9.581912308931351e-2
73,13.464033228380988,11.15749333007089,4.1015625,6.5771484375,6.4892578125,5.0390625,6.3134765625,6.73828125,7.2802734375,6.5771484375,5.2587890625,5.44921875,6.62109375,7.0458984375,6.6796875,5.625,5.7421875,6.796875,7.3974609375,6.6357421875,5.2001953125,5.185546875,7.177734375,7.3974609375,6.9580078125,5.5517578125,13.148300349712372,14.11000318411324,10.878145694732666,3.4379627969529905,0.16268756654527455,1.3895431119534707,2.3242319002747536,2.240734692249034,0.30666589736938477,1.0850694444444446,0.23621082719829353,0.4297453496191238,8.0843973490927e-3,0.20966347720887932,0.36475196894672185,8.608266297313903e-2
74,11.900658098740097,12.244757203434501,4.74609375,7.3388671875,7.236328125,5.6689453125,7.03125,7.5,8.02734375,7.265625,5.9619140625,6.0791015625,7.3681640625,7.8076171875,7.3681640625,6.240234375,6.4306640625,7.5,8.14453125,7.3388671875,5.888671875,5.7421875,7.8662109375,8.14453125,7.646484375,6.181640625,14.393138699233532,15.0,14.680036757555277,6.377692334353924,0.14209136780765325,2.0022881734702325,3.3833929854962568,2.497397880587313,0.6162333819601272,1.136730942461226,0.23621082719829353,0.4028942849900988,2.033594581815932e-2,0.23621082719829353,0.457763671875,0.19311904907226563
75,12.509943457096677,13.09984084369718,5.4345703125,8.2763671875,8.173828125,6.416015625,7.822265625,8.3642578125,8.96484375,8.1591796875,6.708984375,6.8408203125,8.173828125,8.6865234375,8.2470703125,7.060546875,7.177734375,8.37890625,9.140625,8.2177734375,6.650390625,6.4892578125,8.8037109375,9.0966796875,8.583984375,6.9873046875,14.82490450143814,15.0,14.11000318411324,5.584759120312003,0.10626338836219579,1.8531130626797676,3.0174851417541504,2.6327702734205465,0.5020340904593468,0.8719036769535807,0.35259458753797757,0.457763671875,1.2618903484609393e-2,0.19311904907226563,0.3771856427192688,0.18518366333511146
76,12.88595755789938,13.128445926229686,6.005859375,9.0234375,8.8623046875,7.0458984375,8.466796875,9.052734375,9.6533203125,8.84765625,7.3388671875,7.3974609375,8.935546875,9.3896484375,8.935546875,7.67578125,7.8076171875,9.0673828125,9.8291015625,8.9794921875,7.20703125,7.119140625,9.4921875,9.84375,9.287109375,7.6171875,11.480124149885444,15.0,10.643373760912155,4.016272723674774,0.13563368055555558,1.1106999590992928,1.8896866175863483,1.7462298274040222,0.29584341165092265,0.457763671875,0.2649095323350695,0.31774915340873944,8.0843973490927e-3,9.086396959092885e-2,0.16268756654527455,0.1293746754527092
77,11.61202068158867,13.528432366603958,6.1376953125,9.2138671875,9.052734375,7.177734375,8.671875,9.2431640625,9.84375,9.0380859375,7.529296875,7.587890625,9.052734375,9.5654296875,9.111328125,7.8076171875,7.998046875,9.2578125,10.01953125,9.111328125,7.3974609375,7.236328125,9.6826171875,10.0341796875,9.462890625,7.7490234375,12.881788942548965,15.0,11.727000172767376,2.409778017964629,0.15561520639393067,1.0850694444444446,1.964271068572998,1.059836294088099,0.2550990838143562,0.4161754623055458,0.4161754623055458,0.29584341165092265,3.5488564107153155e-3,7.70291727450159e-2,0.16268756654527455,0.10095122787687515
78,11.610160159776795,13.292137255285416,6.38671875,9.5947265625,9.43359375,7.5,8.994140625,9.6240234375,10.224609375,9.4189453125,7.7783203125,7.8369140625,9.43359375,9.8876953125,9.43359375,8.115234375,8.2470703125,9.5654296875,10.3857421875,9.4921875,7.646484375,7.55859375,9.990234375,10.4150390625,9.84375,8.056640625,13.148300349712372,14.393138699233532,12.74989452213049,0.8719036769535807,9.086396959092885e-2,1.3895431119534707,1.6102236178186207,0.9166081953379845,0.1699710264801979,0.5330792110827235,0.35259458753797757,0.24553388357162476,5.5092904302808995e-3,7.70291727450159e-2,0.16268756654527455,8.608266297313903e-2
79,12.078748642764747,14.063226628958931,6.1376953125,9.2138671875,9.052734375,7.177734375,8.671875,9.2431640625,9.84375,9.0380859375,7.529296875,7.587890625,9.052734375,9.5654296875,9.111328125,7.8076171875,7.9248046875,9.2578125,10.01953125,9.111328125,7.3974609375,7.236328125,9.6826171875,10.0341796875,9.462890625,7.8076171875,11.357996198866104,11.977390386164188,9.093847539689808,0.1699710264801979,6.863381713628769e-2,1.3015005323621964,1.4503905549645424,0.6700498569342828,0.1699710264801979,0.5490705370903015,0.2649095323350695,0.2271268102857802,2.541993227269915e-3,0.10626338836219579,0.17746869060728288,7.70291727450159e-2
80,11.170137281112101,13.237616131417417,6.6943359375,9.90234375,9.7412109375,7.7490234375,9.31640625,9.931640625,10.5322265625,9.7412109375,8.0859375,8.14453125,9.7412109375,10.2685546875,9.7998046875,8.4375,8.5546875,9.8876953125,10.693359375,9.7998046875,7.96875,7.8076171875,10.37109375,10.72265625,10.166015625,8.3642578125,10.878145694732666,14.82490450143814,7.608970109787255,0.14875084161758423,4.71482053399086e-2,1.419749524858263,1.1900067329406738,0.565378512773249,0.21827872842550278,0.5989568307995796,0.23621082719829353,0.2852785918447708,3.0174851417541504e-3,0.12331124809053211,0.21827872842550278,8.147209882736206e-2
81,11.377026254440514,13.494594066548224,6.1376953125,9.2138671875,9.052734375,7.177734375,8.5986328125,9.2431640625,9.84375,9.0380859375,7.4560546875,7.587890625,9.052734375,9.5654296875,9.111328125,7.8076171875,7.9248046875,9.2578125,10.01953125,9.111328125,7.3974609375,7.236328125,9.6826171875,10.0341796875,9.462890625,7.8076171875,8.181798685755997,14.82490450143814,5.66091388463974,0.44360705133941447,0.12331124809053211,1.419749524858263,1.6102236178186207,0.24553388357162476,0.20966347720887932,0.7869029003712869,0.18518366333511146,0.2852785918447708,4.791654646396637e-3,0.12331124809053211,0.30666589736938477,5.036178562376235e-2
82,10.317019479164355,12.426022649753966,6.2548828125,9.404296875,9.2431640625,7.3095703125,8.8037109375,9.43359375,10.0341796875,9.228515625,7.646484375,7.705078125,9.2431640625,9.755859375,9.3017578125,7.9248046875,8.115234375,9.3896484375,10.1953125,9.3017578125,7.529296875,7.3681640625,9.873046875,10.224609375,9.6533203125,7.9248046875,8.378942083153461,11.603124439716339,4.929867055681018,0.10626338836219579,8.147209882736206e-2,1.1631654989388256,1.5773629355761742,0.3290962841775683,0.1699710264801979,0.6700498569342828,0.10626338836219579,0.20966347720887932,2.541993227269915e-3,0.10095122787687515,0.31774915340873944,3.3113691541883684e-2
83,9.97044232684529,11.625189596881153,5.56640625,8.466796875,8.3056640625,6.5478515625,8.0126953125,8.5546875,9.1552734375,8.349609375,6.8994140625,6.9580078125,8.3642578125,8.876953125,8.4375,7.177734375,7.3681640625,8.5693359375,9.2724609375,8.408203125,6.767578125,6.62109375,8.994140625,9.287109375,8.7744140625,7.119140625,8.279979228973389,8.279979228973389,7.516178819868301,0.14875084161758423,3.565982398059635e-2,0.8501071068975663,1.2730015441775322,0.13563368055555558,9.086396959092885e-2,0.6700498569342828,0.12331124809053211,0.16268756654527455,2.119276258680556e-3,7.70291727450159e-2,0.2550990838143562,1.6954210069444448e-2
84,7.740590604401184,10.356160286042996,4.9951171875,7.705078125,7.6171875,5.91796875,7.3681640625,7.8076171875,8.408203125,7.646484375,6.2109375,6.4013671875,7.67578125,8.1298828125,7.7490234375,6.5625,6.73828125,7.8076171875,8.583984375,7.7197265625,6.1376953125,6.0498046875,8.2470703125,8.525390625,8.02734375,6.4892578125,6.714771087798809,6.460878584120009,6.377692334353924,0.14209136780765325,3.565982398059635e-2,0.6886613037851123,0.9628152474761009,0.2649095323350695,6.087176087829803e-2,0.457763671875,0.14209136780765325,9.086396959092885e-2,3.771856427192688e-4,6.087176087829803e-2,0.20127795222732758,1.1357996198866106e-2
85,6.3281920754599,9.017791868202416,4.1015625,6.5771484375,6.4892578125,5.0390625,6.3134765625,6.73828125,7.2802734375,6.5771484375,5.2587890625,5.44921875,6.62109375,7.0458984375,6.62109375,5.5517578125,5.7421875,6.73828125,7.3974609375,6.6357421875,5.2001953125,5.185546875,7.177734375,7.3974609375,6.9580078125,5.4931640625,3.4931162372231483,5.893525667488575,7.063522417512207,1.3969838619232178e-2,1.3969838619232178e-2,0.6700498569342828,1.0105496686365871,9.581912308931351e-2,6.46751787927416e-2,0.36475196894672185,0.14209136780765325,6.863381713628769e-2,2.649095323350695e-4,4.113703552219604e-2,0.14209136780765325,8.0843973490927e-3
86,7.454124510014395,8.38776447579431,3.0908203125,5.2587890625,5.185546875,3.896484375,5.1416015625,5.4345703125,5.888671875,5.244140625,4.130859375,4.3212890625,5.361328125,5.7275390625,5.361328125,4.423828125,4.6142578125,5.478515625,6.03515625,5.302734375,4.072265625,4.0576171875,5.80078125,6.0205078125,5.5810546875,4.306640625,0.8501071068975663,3.662109375,3.719628374609683,6.886613037851124e-4,5.5092904302808995e-3,0.5330792110827235,0.4297453496191238,4.4074323442247196e-2,3.3113691541883684e-2,0.14209136780765325,8.147209882736206e-2,3.565982398059635e-2,0.0,1.5413906011316513e-2,5.036178562376235e-2,2.119276258680556e-3
87,6.19012462089312,7.857468908207117,2.6513671875,4.6435546875,4.5556640625,3.3984375,4.5556640625,4.86328125,5.33203125,4.6728515625,3.6328125,3.8232421875,4.8046875,5.15625,4.8046875,3.92578125,4.1162109375,4.9072265625,5.4638671875,4.74609375,3.57421875,3.6181640625,5.244140625,5.390625,5.009765625,3.80859375,0.31774915340873944,2.240734692249034,1.7115375440981655,1.4197495248582633e-3,2.541993227269915e-3,0.20966347720887932,0.20127795222732758,2.8390851285722524e-2,1.3969838619232178e-2,6.46751787927416e-2,4.4074323442247196e-2,1.5413906011316513e-2,0.0,4.791654646396637e-3,1.5413906011316513e-2,1.1367309424612259e-3
88,6.83685513172219,7.0630028581922915,2.138671875,4.013671875,3.9990234375,2.8271484375,4.04296875,4.248046875,4.7021484375,4.1015625,3.0615234375,3.3251953125,4.248046875,4.5263671875,4.248046875,3.427734375,3.5595703125,4.3359375,4.8486328125,4.1748046875,3.0615234375,3.1201171875,4.6875,4.8193359375,4.453125,3.310546875,0.4161754623055458,2.497397880587313,1.3015005323621964,1.0184012353420258e-2,6.886613037851124e-4,8.608266297313903e-2,0.16268756654527455,2.8390851285722524e-2,1.1357996198866106e-2,6.087176087829803e-2,3.0691735446453094e-2,9.093847539689807e-3,0.0,3.0174851417541504e-3,1.3969838619232178e-2,8.940696716308594e-4
89,6.477625201976988,6.340602273103584,1.5087890625,3.193359375,3.1787109375,2.197265625,3.3251953125,3.427734375,3.8818359375,3.33984375,2.373046875,2.6953125,3.486328125,3.779296875,3.427734375,2.6806640625,2.87109375,3.515625,4.04296875,3.4130859375,2.373046875,2.431640625,3.8671875,3.9404296875,3.6328125,2.548828125,0.4161754623055458,1.8896866175863483,0.7869029003712869,3.5488564107153155e-3,1.1175870895385742e-4,4.71482053399086e-2,0.10095122787687515,2.033594581815932e-2,9.093847539689807e-3,3.3113691541883684e-2,1.0184012353420258e-2,3.0174851417541504e-3,0.0,8.940696716308594e-4,5.5092904302808995e-3,6.886613037851124e-4
90,7.282811459855802,5.446878237699955,1.0693359375,2.5634765625,2.548828125,1.6259765625,2.724609375,2.87109375,3.251953125,2.7099609375,1.875,2.1826171875,2.87109375,3.1494140625,2.87109375,2.1826171875,2.373046875,2.958984375,3.4130859375,2.783203125,1.875,1.93359375,3.310546875,3.3251953125,3.0029296875,2.05078125,0.9166081953379845,1.3304217201140194,0.8076098230150012,4.139211442735461e-6,1.1175870895385742e-4,3.0691735446453094e-2,5.036178562376235e-2,3.3113691541883684e-2,4.1392114427354606e-3,1.1357996198866106e-2,6.295223202970294e-3,8.940696716308594e-4,0.0,3.771856427192688e-4,1.4197495248582633e-3,3.771856427192688e-4
91,7.468416172316285,4.297533690531698,0.2490234375,1.5673828125,1.552734375,0.7470703125,1.81640625,1.8017578125,2.1826171875,1.69921875,0.99609375,1.3037109375,1.93359375,2.138671875,1.875,1.2451171875,1.494140625,1.9482421875,2.3583984375,1.7578125,0.99609375,1.11328125,2.2412109375,2.255859375,2.0068359375,1.11328125,0.7869029003712869,1.059836294088099,0.6517767906188965,5.174014303419326e-7,1.1175870895385742e-4,2.218358632591036e-2,3.3113691541883684e-2,3.3113691541883684e-2,6.886613037851124e-4,1.0184012353420258e-2,1.0184012353420258e-2,6.886613037851124e-4,0.0,1.1175870895385742e-4,5.174014303419326e-4,1.3969838619232178e-5
92,6.772747882872014,4.152720805932368,0.0,0.2490234375,0.3076171875,0.0,0.64453125,0.615234375,0.9375,0.498046875,0.0,0.2490234375,0.673828125,0.87890625,0.673828125,0.17578125,0.3662109375,0.7470703125,1.0546875,0.498046875,0.0,5.859375e-2,0.99609375,0.99609375,0.7470703125,0.0,1.0850694444444446,1.3015005323621964,1.2172577488753535,1.3969838619232178e-5,1.3969838619232178e-5,3.8333237171173096e-2,6.863381713628769e-2,6.863381713628769e-2,8.940696716308594e-4,1.6954210069444448e-2,1.0184012353420258e-2,2.649095323350695e-4,0.0,1.1175870895385742e-4,8.940696716308594e-4,1.3969838619232178e-5
93,7.365943336945399,1.9782782850983427,0.0,0.2490234375,0.3076171875,0.0,0.64453125,0.556640625,0.9375,0.498046875,0.0,0.2490234375,0.673828125,0.87890625,0.615234375,0.17578125,0.3662109375,0.7470703125,1.0546875,0.498046875,0.0,5.859375e-2,0.99609375,0.9375,0.7470703125,0.0,1.1106999590992928,1.964271068572998,1.6102236178186207,8.940696716308594e-4,1.3969838619232178e-5,5.3718168702390476e-2,0.10095122787687515,8.147209882736206e-2,3.0174851417541504e-3,2.4139881134033203e-2,4.1392114427354606e-3,6.467517879274157e-5,0.0,3.771856427192688e-4,3.0174851417541504e-3,1.1175870895385742e-4
94,4.792481431064305,1.2987272946221118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8286768570542336,2.0407926705148496,1.2172577488753535,1.3969838619232178e-5,3.3113691541883687e-5,5.036178562376235e-2,8.608266297313903e-2,9.086396959092885e-2,4.791654646396637e-3,2.4139881134033203e-2,3.5488564107153155e-3,1.1175870895385742e-4,0.0,1.1175870895385742e-4,4.1392114427354606e-3,3.771856427192688e-4
95,4.338144000632425,-7.464761005844867e-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0850694444444446,2.0022881734702325,0.9166081953379845,0.0,6.467517879274157e-5,7.275078031751846e-2,5.7220458984375e-2,9.086396959092885e-2,5.5092904302808995e-3,2.6207934651109915e-2,5.5092904302808995e-3,8.940696716308594e-4,0.0,2.649095323350695e-4,2.541993227269915e-3,6.886613037851124e-4
96,2.477518353778251,-8.590858806202428e-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6162333819601272,1.059836294088099,0.47221831563446276,5.174014303419326e-7,4.139211442735461e-6,4.113703552219604e-2,2.218358632591036e-2,5.7220458984375e-2,1.4197495248582633e-3,1.2618903484609393e-2,2.541993227269915e-3,8.940696716308594e-4,0.0,4.139211442735461e-6,3.771856427192688e-4,2.649095323350695e-4
97,3.419482057514722,-8.541938844297892e-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17746869060728288,0.6700498569342828,0.19311904907226563,0.0,0.0,1.5413906011316513e-2,1.0184012353420258e-2,1.859385520219803e-2,3.771856427192688e-4,3.0174851417541504e-3,5.174014303419326e-4,6.467517879274157e-5,0.0,0.0,0.0,3.3113691541883687e-5
98,2.475413885309406,2.627884674634018e-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.70291727450159e-2,0.24553388357162476,6.087176087829803e-2,0.0,0.0,3.5488564107153155e-3,2.541993227269915e-3,4.791654646396637e-3,5.174014303419326e-7,3.771856427192688e-4,4.139211442735461e-6,0.0,0.0,0.0,0.0,0.0
99,2.4663175124868384,-0.41681411208332464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.113703552219604e-2,0.10095122787687515,2.033594581815932e-2,0.0,0.0,2.649095323350695e-4,1.774686906072829e-4,1.1367309424612259e-3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6954210069444448e-2,4.113703552219604e-2,4.791654646396637e-3,0.0,0.0,0.0,0.0,6.467517879274157e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0