tick,wind,sun,s2,s3,s4,s6,s7,s8,s9,sB,sC,sD,sE,sF,sG,sH,sI,sJ,sK,sM,sN,sO,a1,a2,a3,a4,a5,a6,a7,a8,a9,aA,aC,aD,aE,aF,aG
0,14.544066174909606,-0.10093645729385381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,13.276114018741428,0.34678392286524595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.152557373046875e-3,2.124637831002474e-2,4.71482053399086e-5,0.0,0.0,0.0,1.1977390386164188e-2,4.71482053399086e-5,1.3969838619232178e-5,4.71482053399086e-5,0.0,0.0,1.7462298274040222e-6,4.71482053399086e-5,0.0
2,13.728284477283315,-6.012667549710282e-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,15.0,3.748612361960113,15.0,1.0724033927544951,9.581912308931351e-2,15.0,7.019283366389573,1.3597682118415833,2.6557972887530923,1.4971737982705235,5.7220458984375e-2,0.5252013215795159,1.3159081572666764,0.5736522143706679
3,12.877450987536221,-0.40623576674917483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,,13.350578374229372,,6.757722585462034,0.5252013215795159,,12.167504173703492,3.170887939631939,5.106337484903634,5.434504710137844,0.5020340904593468,1.1498975800350308,3.0174851417541504,1.6943650553002954
4,11.634200203121283,0.43510691734744844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,,11.418951326049864,,7.987772114574909,0.4161754623055458,,10.015220032073557,3.2495014602318406,4.791654646396637,6.012183730490506,0.5490705370903015,1.1498975800350308,2.6557972887530923,1.7462298274040222
5,10.558015686699235,-0.237900619779573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,,6.887675262987614,,5.893525667488575,0.27496833354234695,,7.844282663427293,2.7967843925580382,5.106337484903634,4.108244902454317,0.3771856427192688,0.8940696716308594,1.964271068572998,1.544952392578125
6,9.855785581038942,-8.76696383008575e-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,,3.0174851417541504,,4.999958910048008,0.21827872842550278,,5.546939210034907,2.1392066264525056,5.106337484903634,2.9426749097183347,0.23163913283497095,0.5989568307995796,1.3597682118415833,0.9984715143218637
7,11.033814413147155,0.4269713044465965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.607958146370947,,1.8531130626797676,,3.9256835589185357,0.23163913283497095,,4.999958910048008,1.4971737982705235,3.748612361960113,2.3881980450823903,0.21827872842550278,0.3771856427192688,0.8286768570542336,0.5989568307995796
8,10.659066480528304,0.15163666348047933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,,2.7256831526756287,,7.152557373046875,0.2905289875343442,,4.689708002842963,1.964271068572998,3.9256835589185357,3.4931162372231483,0.2599734580144286,0.4795583663508296,1.1498975800350308,0.8940696716308594
9,9.724072716441073,-4.257126727595928e-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,,2.1392066264525056,,6.502741598524153,0.30666589736938477,,5.106337484903634,1.5937368152663112,4.5892177149653435,3.170887939631939,0.23163913283497095,0.7665529847145081,1.2730015441775322,0.7972115417942405
10,9.048120237101932,0.3818932357577074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,,1.4503905549645424,,4.791654646396637,5.7220458984375e-2,,3.836466930806637,1.404592185281217,3.3294036984443665,2.5871163234114647,0.11175870895385742,0.5736522143706679,1.1106999590992928,0.5490705370903015
11,8.240299247460994,0.4218572790880569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.359619140625,,0.8609594078734517,,2.5196297792717814,1.859385520219803e-2,,2.6557972887530923,1.2310378951951861,1.6943650553002954,1.7991423374041915,4.25887992605567e-2,0.30666589736938477,0.624994863756001,0.3771856427192688
12,8.614447951723712,0.6035445572570121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.885599672794342,,0.3586389357224107,,1.964271068572998,1.617183443158865e-2,,1.3597682118415833,1.1498975800350308,1.2310378951951861,1.2310378951951861,3.437104169279337e-2,0.1812988193705678,0.4795583663508296,0.3771856427192688
13,7.586840734171596,1.0049163585228338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.987772114574909,,0.39636099245399237,,2.021479303948581,1.3969838619232178e-2,,1.2310378951951861,1.1498975800350308,0.9984715143218637,1.0724033927544951,1.617183443158865e-2,0.1293746754527092,0.457763671875,0.3407103940844536
14,7.883908583302652,1.7153924372550082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.1324238777160645,,0.14875084161758423,,1.4971737982705235,1.3969838619232178e-2,6.887675262987614,1.0724033927544951,0.7972115417942405,0.8940696716308594,0.7076142355799675,3.0174851417541504e-3,0.1388374948874116,0.2905289875343442,0.2599734580144286
15,7.486446410129526,2.2631868596042994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.434504710137844,,5.7220458984375e-2,,1.0349974036216736,7.152557373046875e-3,6.757722585462034,0.7665529847145081,0.7972115417942405,0.6793130887672305,0.5736522143706679,2.1827872842550278e-4,8.845177944749594e-2,0.21827872842550278,0.23163913283497095
16,7.218041802611809,2.9959337249472036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.859375e-2,0.17578125,0.0,0.0,0.17578125,0.1171875,0.0,4.5892177149653435,,3.0691735446453094e-2,7.019283366389573,0.4161754623055458,8.940696716308594e-4,5.893525667488575,0.624994863756001,0.6517767906188965,0.4795583663508296,0.43663952965289354,0.0,6.275426130741835e-2,0.12035190593451262,0.2054421929642558
17,7.112855910905137,3.4522412969337357,0.0,0.0,0.0,0.0,0.1171875,0.2490234375,0.1171875,0.0,0.17578125,0.3076171875,0.17578125,0.0,5.859375e-2,0.4248046875,0.615234375,0.380859375,0.0,0.556640625,0.556640625,0.3662109375,3.748612361960113,8.428717846982181,1.0184012353420258e-2,5.546939210034907,0.5252013215795159,3.771856427192688e-4,5.106337484903634,0.7366907084360719,0.43663952965289354,0.3771856427192688,0.3407103940844536,0.0,3.437104169279337e-2,9.581912308931351e-2,0.12035190593451262
18,7.265957394489411,4.022613949495096,5.859375e-2,0.17578125,0.3662109375,0.3662109375,0.7470703125,0.8642578125,0.76171875,0.3076171875,0.8056640625,0.9375,0.8056640625,0.4248046875,0.615234375,1.0546875,1.2451171875,0.9521484375,0.17578125,1.2451171875,1.201171875,0.99609375,4.108244902454317,7.987772114574909,1.1977390386164188e-2,3.662109375,0.457763671875,1.3969838619232178e-5,4.5892177149653435,0.624994863756001,0.457763671875,0.3586389357224107,0.2599734580144286,0.0,2.7284841053187847e-2,0.1035846071317792,9.581912308931351e-2
19,7.10501737900331,5.516359224456599,1.6845703125,1.9482421875,2.0654296875,1.81640625,2.4462890625,2.548828125,2.40234375,1.69921875,2.373046875,2.63671875,2.4462890625,1.93359375,2.0654296875,2.6953125,2.98828125,2.5927734375,1.6259765625,2.8857421875,2.9736328125,2.7099609375,3.748612361960113,8.731517591513693,5.893525667488575e-3,3.410605131648481,0.3586389357224107,1.7462298274040222e-6,4.108244902454317,0.6517767906188965,0.43663952965289354,0.43663952965289354,0.1699710264801979,0.0,4.71482053399086e-2,9.581912308931351e-2,9.581912308931351e-2
20,6.441572756456525,6.088969875589713,2.1240234375,2.3291015625,2.5048828125,2.197265625,2.8125,2.98828125,2.783203125,2.021484375,2.8125,3.017578125,2.8857421875,2.2998046875,2.373046875,3.134765625,3.369140625,3.046875,1.9482421875,3.251953125,3.4130859375,3.1494140625,3.748612361960113,7.844282663427293,1.859385520219803e-2,3.093552659265697,0.19311904907226563,0.0,4.108244902454317,0.8609594078734517,0.3771856427192688,0.3407103940844536,0.15912519302219152,0.0,4.71482053399086e-2,9.581912308931351e-2,7.486960384994745e-2
21,7.814252700284957,7.063930510533423,3.0615234375,3.4130859375,3.5009765625,3.076171875,3.8232421875,4.0576171875,3.80859375,2.900390625,3.7646484375,4.0283203125,3.837890625,3.1787109375,3.3251953125,4.130859375,4.423828125,4.0576171875,2.8271484375,4.3212890625,4.482421875,4.1455078125,2.3242319002747536,7.562479586340487,3.8333237171173096e-2,2.1997466683387756,0.1293746754527092,0.0,2.7256831526756287,0.5736522143706679,0.2905289875343442,0.2054421929642558,0.15912519302219152,0.0,2.7284841053187847e-2,4.25887992605567e-2,5.7220458984375e-2
22,5.47391217275355,7.68201847253047,3.69140625,4.04296875,4.130859375,3.6474609375,4.453125,4.6142578125,4.3798828125,3.4130859375,4.3212890625,4.658203125,4.4677734375,3.75,3.8232421875,4.7021484375,5.0537109375,4.62890625,3.33984375,4.892578125,5.1123046875,4.775390625,2.7256831526756287,9.358700481243432,5.7220458984375e-2,3.748612361960113,0.43663952965289354,0.0,2.5871163234114647,0.8940696716308594,0.3407103940844536,0.12035190593451262,0.2599734580144286,0.0,2.124637831002474e-2,2.7284841053187847e-2,7.486960384994745e-2
23,6.8173628599693705,9.118882164855824,5.2001953125,5.625,5.6396484375,5.0390625,5.9619140625,6.240234375,5.9033203125,4.6728515625,5.830078125,6.1669921875,5.9765625,5.1123046875,5.1416015625,6.2109375,6.6796875,6.15234375,4.658203125,6.4599609375,6.767578125,6.298828125,1.3597682118415833,4.2016105726361275,1.0184012353420258e-2,1.7462298274040222,0.1699710264801979,0.0,1.3159081572666764,0.4795583663508296,0.1293746754527092,6.863381713628769e-2,8.147209882736206e-2,0.0,7.152557373046875e-3,1.0184012353420258e-2,2.7284841053187847e-2
24,6.419286185328906,9.98170979248072,5.9619140625,6.4453125,6.4013671875,5.6689453125,6.708984375,6.9873046875,6.6650390625,5.302734375,6.5185546875,6.9287109375,6.6796875,5.7421875,5.830078125,6.9580078125,7.4267578125,6.9140625,5.2880859375,7.20703125,7.529296875,7.0458984375,2.1997466683387756,4.016272723674774,1.3969838619232178e-2,1.7462298274040222,0.12035190593451262,0.0,1.8531130626797676,0.5490705370903015,0.1035846071317792,0.1388374948874116,7.486960384994745e-2,0.0,1.1977390386164188e-2,2.4139881134033203e-2,1.617183443158865e-2
25,6.152845599588787,10.023598810769125,5.9619140625,6.4453125,6.4013671875,5.6689453125,6.708984375,6.9873046875,6.6650390625,5.302734375,6.5185546875,6.9287109375,6.6796875,5.7421875,5.830078125,6.9580078125,7.4267578125,6.9140625,5.2880859375,7.20703125,7.529296875,7.0458984375,2.2614182671532035,4.016272723674774,4.791654646396637e-3,1.1498975800350308,3.437104169279337e-2,0.0,2.2614182671532035,0.4161754623055458,8.845177944749594e-2,0.12035190593451262,7.486960384994745e-2,0.0,8.579227142035961e-3,1.617183443158865e-2,1.1977390386164188e-2
26,6.337767030819491,11.429352118422374,7.20703125,7.7783203125,7.705078125,6.796875,8.02734375,8.3056640625,7.939453125,6.4453125,7.7783203125,8.2470703125,7.939453125,6.8701171875,6.9580078125,8.2177734375,8.8037109375,8.1884765625,6.416015625,8.466796875,8.84765625,8.37890625,1.964271068572998,4.016272723674774,3.836466930806637e-3,0.8940696716308594,3.0691735446453094e-2,0.0,1.8531130626797676,0.4161754623055458,3.437104169279337e-2,0.11175870895385742,6.275426130741835e-2,0.0,3.836466930806637e-3,1.3969838619232178e-2,7.152557373046875e-3
27,7.2992444990522545,12.269377800526646,7.8955078125,8.5400390625,8.466796875,7.4267578125,8.7158203125,9.052734375,8.642578125,7.0166015625,8.466796875,8.935546875,8.6279296875,7.55859375,7.587890625,8.96484375,9.55078125,8.9501953125,7.0458984375,9.2138671875,9.609375,9.1259765625,2.1392066264525056,6.012183730490506,3.0174851417541504e-3,0.9628152474761009,4.25887992605567e-2,0.0,1.7462298274040222,0.2905289875343442,4.71482053399086e-2,8.147209882736206e-2,8.147209882736206e-2,0.0,1.7462298274040222e-3,7.152557373046875e-3,1.0184012353420258e-2
28,7.6002734709477044,12.256091444441722,7.8955078125,8.5400390625,8.466796875,7.4267578125,8.7158203125,9.052734375,8.642578125,7.0166015625,8.466796875,8.935546875,8.6279296875,7.55859375,7.587890625,8.96484375,9.55078125,8.9501953125,7.0458984375,9.2138671875,9.609375,9.1259765625,2.5196297792717814,9.358700481243432,3.8333237171173096e-2,1.964271068572998,9.581912308931351e-2,0.0,1.4503905549645424,0.3586389357224107,0.1388374948874116,0.1293746754527092,0.1293746754527092,0.0,4.791654646396637e-3,1.1977390386164188e-2,2.7284841053187847e-2
29,8.07567981904393,12.838363753986036,8.408203125,9.111328125,8.96484375,7.8662109375,9.287109375,9.55078125,9.140625,7.4560546875,8.96484375,9.4482421875,9.19921875,7.998046875,8.02734375,9.462890625,10.048828125,9.462890625,7.5,9.7265625,10.1806640625,9.638671875,3.4931162372231483,9.199180640280247,0.11175870895385742,4.016272723674774,0.2599734580144286,0.0,3.0174851417541504,0.8286768570542336,0.23163913283497095,0.1812988193705678,0.19311904907226563,0.0,8.579227142035961e-3,2.7284841053187847e-2,3.0691735446453094e-2
30,8.438698850271251,12.450585684649763,8.0859375,8.73046875,8.6572265625,7.6171875,8.90625,9.2431640625,8.8330078125,7.1484375,8.6572265625,9.1259765625,8.818359375,7.67578125,7.705078125,9.0966796875,9.6826171875,9.08203125,7.177734375,9.345703125,9.7998046875,9.2578125,4.895068123005331,9.683251264505088,0.2054421929642558,6.629414856433868,0.24553388357162476,2.1827872842550278e-4,4.791654646396637,0.8609594078734517,0.4161754623055458,0.1812988193705678,0.3407103940844536,0.0,2.4139881134033203e-2,4.71482053399086e-2,4.25887992605567e-2
31,8.879658130709306,12.817532458909179,8.408203125,9.111328125,8.96484375,7.8662109375,9.287109375,9.55078125,9.140625,7.4560546875,8.96484375,9.4482421875,9.19921875,7.998046875,8.02734375,9.462890625,10.048828125,9.462890625,7.5,9.7265625,10.1806640625,9.638671875,6.1324238777160645,12.9480758914724,0.39636099245399237,8.13300081063062,0.4795583663508296,3.771856427192688e-4,8.279979228973389,1.0724033927544951,0.7665529847145081,0.3407103940844536,0.4161754623055458,0.0,6.863381713628769e-2,0.12035190593451262,5.7220458984375e-2
32,8.297584424164407,12.792286627019449,8.408203125,9.111328125,8.96484375,7.8662109375,9.2138671875,9.6240234375,9.2138671875,7.4560546875,8.96484375,9.4482421875,9.19921875,7.998046875,8.02734375,9.462890625,10.048828125,9.462890625,7.5,9.7265625,10.1806640625,9.638671875,6.757722585462034,15.0,0.3586389357224107,11.977390386164188,0.8286768570542336,4.791654646396637e-3,9.848303161561489,0.7076142355799675,1.1498975800350308,0.5252013215795159,0.7366907084360719,4.71482053399086e-5,0.12035190593451262,0.19311904907226563,0.1035846071317792
33,8.898446252081861,12.681563849480707,8.2177734375,8.84765625,8.84765625,7.7490234375,9.0966796875,9.43359375,9.0234375,7.3388671875,8.7744140625,9.31640625,9.0087890625,7.8076171875,7.8369140625,9.287109375,9.873046875,9.2724609375,7.3681640625,9.5361328125,9.990234375,9.4482421875,7.287507760338485,15.0,0.2905289875343442,11.977390386164188,0.5989568307995796,2.1827872842550278e-4,9.041483863256872,0.5020340904593468,1.1900067329406738,0.624994863756001,0.7076142355799675,1.1175870895385742e-4,0.1293746754527092,0.27496833354234695,0.11175870895385742
34,7.605705734951968,12.773854481543513,8.408203125,9.111328125,8.96484375,7.8662109375,9.2138671875,9.55078125,9.140625,7.4560546875,8.96484375,9.4482421875,9.19921875,7.998046875,8.02734375,9.462890625,10.048828125,9.462890625,7.5,9.7265625,10.1806640625,9.638671875,8.579227142035961,15.0,0.43663952965289354,10.354690602980554,0.457763671875,0.0,9.52005386352539,0.7076142355799675,1.0349974036216736,0.8940696716308594,0.6517767906188965,1.7462298274040222e-6,0.14875084161758423,0.27496833354234695,0.12035190593451262
35,8.006142297245672,11.329114024259566,7.20703125,7.7783203125,7.705078125,6.796875,8.02734375,8.3056640625,7.939453125,6.38671875,7.7783203125,8.2470703125,7.939453125,6.8701171875,6.9580078125,8.2177734375,8.7451171875,8.1884765625,6.416015625,8.466796875,8.84765625,8.37890625,6.629414856433868,11.236737482249737,0.1699710264801979,6.887675262987614,0.30666589736938477,1.3969838619232178e-5,7.987772114574909,0.8609594078734517,0.8286768570542336,0.8286768570542336,0.4795583663508296,0.0,0.11175870895385742,0.2599734580144286,0.11175870895385742
36,8.199427880137549,10.483765934944183,6.26953125,6.767578125,6.767578125,5.9765625,7.08984375,7.3681640625,6.9873046875,5.625,6.8994140625,7.3095703125,7.0458984375,6.0498046875,6.1376953125,7.3388671875,7.8076171875,7.294921875,5.595703125,7.587890625,7.91015625,7.4267578125,6.757722585462034,14.393138699233532,0.1699710264801979,7.702521979808807,0.5989568307995796,0.0,6.757722585462034,0.8940696716308594,0.8609594078734517,0.6517767906188965,0.4795583663508296,0.0,0.11175870895385742,0.1812988193705678,0.15912519302219152
37,7.326159198445113,9.584569771801567,5.5810546875,6.005859375,6.0205078125,5.3466796875,6.328125,6.62109375,6.2841796875,4.9951171875,6.2109375,6.5478515625,6.298828125,5.4345703125,5.44921875,6.5771484375,7.060546875,6.533203125,4.9658203125,6.8408203125,7.1484375,6.6796875,5.776439211331308,15.0,0.19311904907226563,11.056472430936992,0.9628152474761009,0.0,6.629414856433868,0.7366907084360719,1.0349974036216736,0.5736522143706679,0.43663952965289354,1.1175870895385742e-4,8.845177944749594e-2,0.15912519302219152,0.1812988193705678
38,5.963339433997456,8.72664302645987,4.8193359375,5.244140625,5.2587890625,4.658203125,5.5810546875,5.80078125,5.5224609375,4.365234375,5.44921875,5.7861328125,5.595703125,4.74609375,4.8193359375,5.830078125,6.240234375,5.771484375,4.3359375,6.0205078125,6.328125,5.91796875,4.296380211599171,11.056472430936992,0.1035846071317792,8.731517591513693,0.8286768570542336,0.0,5.323599907569587,0.4795583663508296,0.7972115417942405,0.3771856427192688,0.30666589736938477,2.1827872842550278e-4,4.71482053399086e-2,0.11175870895385742,0.12035190593451262
39,5.928434007793843,8.304923244199893,4.453125,4.8046875,4.892578125,4.27734375,5.2001953125,5.4345703125,5.1416015625,4.04296875,5.0830078125,5.419921875,5.2294921875,4.365234375,4.51171875,5.44921875,5.8740234375,5.390625,4.0283203125,5.6396484375,5.8740234375,5.537109375,2.7256831526756287,6.629414856433868,1.3969838619232178e-2,5.434504710137844,0.928018125705421,1.3969838619232178e-5,3.748612361960113,0.24553388357162476,0.457763671875,0.24553388357162476,0.19311904907226563,0.0,2.124637831002474e-2,4.71482053399086e-2,3.437104169279337e-2
40,5.900078015664665,7.463604418604227,3.4423828125,3.7939453125,3.8818359375,3.45703125,4.2041015625,4.423828125,4.189453125,3.22265625,4.130859375,4.4091796875,4.21875,3.5595703125,3.6328125,4.51171875,4.86328125,4.4384765625,3.1494140625,4.7021484375,4.86328125,4.5263671875,2.1392066264525056,4.490173305384815,1.2730015441775322e-3,4.108244902454317,0.8940696716308594,0.0,2.5871163234114647,0.1812988193705678,0.2054421929642558,0.1812988193705678,0.11175870895385742,0.0,7.152557373046875e-3,3.0691735446453094e-2,7.152557373046875e-3
41,6.172144283747948,6.899874298881412,2.8857421875,3.1640625,3.3251953125,2.8857421875,3.6328125,3.80859375,3.6181640625,2.7099609375,3.57421875,3.837890625,3.6474609375,2.98828125,3.134765625,3.8818359375,4.248046875,3.8671875,2.63671875,4.072265625,4.2333984375,3.9697265625,2.1997466683387756,4.2016105726361275,4.71482053399086e-5,3.9256835589185357,0.6793130887672305,1.7462298274040222e-6,2.7256831526756287,0.11175870895385742,0.11175870895385742,0.1812988193705678,6.275426130741835e-2,0.0,1.7462298274040222e-3,2.124637831002474e-2,2.3242319002747536e-3
42,7.435722654328178,5.782945030710533,1.875,2.138671875,2.255859375,2.0068359375,2.6220703125,2.8125,2.5927734375,1.8896484375,2.5634765625,2.8271484375,2.63671875,2.1240234375,2.1826171875,2.8857421875,3.1787109375,2.8564453125,1.7578125,3.0615234375,3.1640625,2.8857421875,2.079787664115429,5.214214324951172,1.3969838619232178e-5,4.108244902454317,0.6517767906188965,4.71482053399086e-5,2.5196297792717814,0.19311904907226563,0.1293746754527092,0.19311904907226563,5.7220458984375e-2,0.0,1.2730015441775322e-3,2.124637831002474e-2,4.791654646396637e-3
43,7.817998162057081,4.748418957866067,0.8642578125,1.0693359375,1.1865234375,1.1279296875,1.5673828125,1.7431640625,1.58203125,1.0107421875,1.5673828125,1.7578125,1.6259765625,1.1865234375,1.3037109375,1.875,2.1240234375,1.7724609375,0.87890625,2.0654296875,2.080078125,1.81640625,2.8691114857792854,7.987772114574909,1.1175870895385742e-4,6.254256586544216,1.0724033927544951,2.1827872842550278e-4,4.296380211599171,0.5020340904593468,0.2599734580144286,0.21827872842550278,0.14875084161758423,0.0,3.836466930806637e-3,3.437104169279337e-2,1.859385520219803e-2
44,7.730998422915275,3.729557689674934,0.0,0.0,0.17578125,0.17578125,0.556640625,0.673828125,0.5712890625,0.1171875,0.556640625,0.7470703125,0.6298828125,0.2490234375,0.4248046875,0.8642578125,1.0546875,0.76171875,0.0,0.99609375,1.0107421875,0.8056640625,5.323599907569587,9.683251264505088,0.12035190593451262,9.199180640280247,1.3597682118415833,4.71482053399086e-5,6.377692334353924,0.5736522143706679,0.3586389357224107,0.5490705370903015,0.3586389357224107,0.0,1.617183443158865e-2,0.11175870895385742,2.7284841053187847e-2
45,7.321013559669298,2.333484154901624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.546939210034907,10.354690602980554,0.1293746754527092,9.683251264505088,0.8609594078734517,0.0,7.152557373046875,0.5252013215795159,0.4795583663508296,0.4795583663508296,0.4161754623055458,0.0,2.4139881134033203e-2,0.1035846071317792,6.863381713628769e-2
46,7.510582751040784,1.0372377291251773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.689708002842963,8.885599672794342,3.0691735446453094e-2,8.13300081063062,0.8609594078734517,0.0,5.546939210034907,0.7366907084360719,0.5736522143706679,0.3233895404264331,0.3407103940844536,0.0,3.8333237171173096e-2,5.2021932788193226e-2,0.1035846071317792
47,7.3298632268777695,0.397225770138302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.214214324951172,9.358700481243432,8.579227142035961e-3,7.562479586340487,0.6517767906188965,0.0,6.254256586544216,0.6793130887672305,0.6793130887672305,0.3771856427192688,0.3586389357224107,0.0,3.437104169279337e-2,6.863381713628769e-2,0.11175870895385742
48,5.486627144236918,-0.3131336066918309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.791654646396637,9.358700481243432,7.152557373046875e-3,7.987772114574909,0.7366907084360719,4.71482053399086e-5,4.689708002842963,0.43663952965289354,0.6517767906188965,0.4161754623055458,0.3233895404264331,0.0,2.7284841053187847e-2,0.1035846071317792,8.147209882736206e-2
49,6.290378381950795,1.5361271814808286e-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.453327178955078,4.999958910048008,3.836466930806637e-3,3.836466930806637,0.3233895404264331,0.0,2.9426749097183347,0.14875084161758423,0.2905289875343442,0.2599734580144286,0.12035190593451262,0.0,1.3969838619232178e-2,5.2021932788193226e-2,1.617183443158865e-2
