tick,wind,sun,s1,s2,s3,s4,s5,s6,s7,s8,s9,sA,sB,sC,sD,sE,sF,sG,sH,sI,sJ,sK,sL,sM,sN,sO,sP,a1,a2,a3,a4,a5,a6,a7,a8,a9,aA,aB,aC,aD,aE,aF,aG
0,14.164984593627715,-0.12330687639221882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,14.418254309793449,0.4178824282389577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.617183443158865e-2,4.25887992605567e-2,1.3969838619232178e-5,0.0,0.0,0.0,1.617183443158865e-2,1.1175870895385742e-4,1.7462298274040222e-6,5.989568307995796e-4,1.3969838619232178e-5,1.7462298274040222e-6,0.0,1.7462298274040222e-6,5.989568307995796e-4,4.71482053399086e-5
2,13.634975117607471,0.465649609571535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,15.0,4.392564296722412,15.0,1.3159081572666764,8.147209882736206e-2,15.0,6.757722585462034,1.7462298274040222,3.410605131648481,5.893525667488575e-3,2.1392066264525056,0.11175870895385742,0.3407103940844536,1.4503905549645424,0.6793130887672305
3,13.582576602634607,0.1215867491261472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,,15.0,,9.358700481243432,0.7665529847145081,,13.554920442402363,4.108244902454317,7.562479586340487,3.437104169279337e-2,7.562479586340487,0.8286768570542336,1.7462298274040222,3.4931162372231483,1.964271068572998
4,13.487750150616103,0.379231920244829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,,15.0,,10.878145694732666,1.3597682118415833,,13.969838619232178,7.424145005643368,10.184012353420258,2.124637831002474e-2,8.885599672794342,0.8609594078734517,2.7256831526756287,4.296380211599171,3.170887939631939
5,13.818240391170455,0.1251722072224477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,,15.0,,9.041483863256872,0.9984715143218637,,12.359619140625,7.152557373046875,10.184012353420258,8.147209882736206e-2,8.13300081063062,0.7366907084360719,2.8691114857792854,5.546939210034907,3.662109375
6,13.917330288536313,0.3993317425619465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,,15.0,,7.702521979808807,0.5989568307995796,,11.789267300628126,6.012183730490506,11.056472430936992,0.15912519302219152,7.287507760338485,0.6793130887672305,2.7967843925580382,5.214214324951172,3.5769474925473332
7,13.483564086986316,-0.41421065429236537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,15.0,,11.603124439716339,0.5490705370903015,,13.554920442402363,6.377692334353924,9.358700481243432,0.24553388357162476,7.152557373046875,0.6793130887672305,2.1392066264525056,4.392564296722412,3.170887939631939
8,14.099794155792022,0.15418707575561108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,15.0,,8.731517591513693,0.5736522143706679,,13.969838619232178,6.1324238777160645,11.789267300628126,0.14875084161758423,8.279979228973389,0.5736522143706679,1.7991423374041915,4.5892177149653435,3.170887939631939
9,13.145877901106381,0.2676710185515695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,13.148300349712372,,8.885599672794342,0.8940696716308594,,15.0,7.287507760338485,10.015220032073557,8.147209882736206e-2,8.13300081063062,1.0349974036216736,2.2614182671532035,4.689708002842963,3.5769474925473332
10,13.154133227292528,-0.4967132957414703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,11.236737482249737,,6.887675262987614,0.8940696716308594,,10.878145694732666,6.377692334353924,5.66091388463974,0.1699710264801979,7.562479586340487,0.8286768570542336,1.8531130626797676,2.7256831526756287,2.6557972887530923
11,13.125814467168453,-0.30233133215994556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,11.603124439716339,,10.701746796257794,0.3771856427192688,,12.553745764307678,6.1324238777160645,6.377692334353924,0.1812988193705678,7.702521979808807,0.5252013215795159,1.964271068572998,3.3294036984443665,2.3881980450823903
12,14.803634549086034,1.1956074718130487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,12.74989452213049,,10.878145694732666,0.6517767906188965,,13.350578374229372,6.887675262987614,7.152557373046875,0.15912519302219152,9.848303161561489,0.5252013215795159,2.1392066264525056,4.2016105726361275,2.1997466683387756
13,13.230884006284713,1.5359990831426216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,15.0,,13.350578374229372,0.6793130887672305,,15.0,6.254256586544216,12.167504173703492,0.2054421929642558,10.184012353420258,0.7366907084360719,2.7256831526756287,6.377692334353924,3.0174851417541504
14,14.098132366914792,1.678328032428965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,14.393138699233532,,3.662109375,0.5252013215795159,,15.0,5.893525667488575,8.279979228973389,0.1293746754527092,7.019283366389573,0.7076142355799675,2.1997466683387756,4.999958910048008,3.4931162372231483
15,14.70251498200021,3.043828361872707,0.0,0.0,0.3076171875,0.3662109375,0.0,0.64453125,0.498046875,0.8642578125,0.439453125,0.0,0.3076171875,0.673828125,0.8056640625,0.615234375,0.2490234375,0.3662109375,0.6298828125,0.8642578125,0.3662109375,0.0,0.0,0.8642578125,0.6884765625,0.498046875,0.0,,,13.148300349712372,,2.8691114857792854,0.7076142355799675,,13.554920442402363,6.629414856433868,9.041483863256872,0.1812988193705678,7.019283366389573,1.2730015441775322,2.8691114857792854,5.106337484903634,3.093552659265697
16,14.710015548174958,2.8675675844359816,0.0,0.0,0.1171875,0.1171875,0.0,0.4541015625,0.3076171875,0.615234375,0.2490234375,0.0,0.1171875,0.4248046875,0.6298828125,0.4248046875,0.1171875,0.17578125,0.439453125,0.673828125,0.3076171875,0.0,0.0,0.673828125,0.556640625,0.3662109375,0.0,,,15.0,,4.490173305384815,0.7665529847145081,,15.0,6.502741598524153,9.199180640280247,0.15912519302219152,8.731517591513693,1.7462298274040222,3.410605131648481,6.377692334353924,3.662109375
17,13.898979953791494,3.3768549764674756,0.0,0.234375,0.6884765625,0.7470703125,0.0,0.966796875,0.9375,1.3037109375,0.87890625,0.0,0.556640625,1.0546875,1.259765625,1.0546875,0.7470703125,0.615234375,0.99609375,1.3623046875,0.9375,0.4248046875,0.0,1.2451171875,1.2451171875,1.0546875,0.0,,,15.0,,4.689708002842963,1.1106999590992928,,15.0,6.1324238777160645,9.52005386352539,0.2054421929642558,7.987772114574909,1.2730015441775322,2.5871163234114647,5.106337484903634,3.4931162372231483
18,14.519947730101356,4.209812816499285,0.0,1.23046875,1.6259765625,1.6845703125,0.0,1.494140625,1.7431640625,2.1826171875,1.69921875,0.0,1.1279296875,1.875,2.0654296875,1.875,1.435546875,1.435546875,1.8896484375,2.2265625,1.7578125,1.1279296875,0.0,2.1240234375,2.0654296875,1.875,0.0,,,15.0,,2.1997466683387756,9.581912308931351e-2,,15.0,4.108244902454317,7.424145005643368,0.457763671875,6.377692334353924,0.5490705370903015,1.8531130626797676,4.791654646396637,2.453327178955078
19,13.81338319677262,5.183778753585355,0.0,2.2265625,2.6953125,2.6806640625,0.0,2.7978515625,2.8125,3.251953125,2.7099609375,0.0,2.255859375,2.87109375,3.076171875,2.87109375,2.373046875,2.373046875,2.8857421875,3.2958984375,2.783203125,2.0068359375,0.0,3.1787109375,3.193359375,2.9443359375,0.0,,,15.0,,4.016272723674774,0.30666589736938477,,15.0,5.323599907569587,7.019283366389573,0.21827872842550278,6.1324238777160645,0.43663952965289354,1.4971737982705235,3.2495014602318406,2.2614182671532035
20,12.81230847444722,5.956780903418752,0.0,3.046875,3.57421875,3.486328125,0.0,3.57421875,3.6181640625,4.072265625,3.5302734375,0.0,2.9443359375,3.6767578125,3.896484375,3.6767578125,3.1201171875,3.0615234375,3.7060546875,4.1015625,3.603515625,2.75390625,0.0,3.9990234375,4.013671875,3.7646484375,0.0,,,15.0,,6.502741598524153,0.19311904907226563,,12.74989452213049,3.836466930806637,4.108244902454317,0.12035190593451262,5.546939210034907,0.5490705370903015,0.928018125705421,1.6943650553002954,1.964271068572998
21,12.716915676580765,6.883913715729918,0.0,3.7939453125,4.3798828125,4.365234375,0.0,4.2919921875,4.423828125,4.892578125,4.365234375,0.0,3.6328125,4.423828125,4.716796875,4.423828125,3.80859375,3.75,4.4677734375,4.9658203125,4.365234375,3.4423828125,0.0,4.8046875,4.892578125,4.5703125,0.0,,,13.554920442402363,,3.748612361960113,0.457763671875,,11.418951326049864,3.2495014602318406,2.9426749097183347,5.2021932788193226e-2,5.434504710137844,0.5989568307995796,0.5989568307995796,1.3597682118415833,2.021479303948581
22,12.77648406808497,7.524590799326926,0.0,4.599609375,5.2001953125,5.185546875,0.0,5.0830078125,5.244140625,5.6982421875,5.1123046875,0.0,4.2626953125,5.244140625,5.537109375,5.244140625,4.5556640625,4.4970703125,5.2880859375,5.7861328125,5.185546875,4.130859375,0.0,5.625,5.771484375,5.390625,0.0,,,11.977390386164188,,4.689708002842963,0.457763671875,,11.789267300628126,3.2495014602318406,3.748612361960113,8.845177944749594e-2,4.2016105726361275,0.7366907084360719,0.7972115417942405,1.7991423374041915,1.5937368152663112
23,12.250572256080524,8.720223454237283,0.0,5.7861328125,6.4599609375,6.3720703125,0.0,6.123046875,6.4306640625,6.9580078125,6.328125,0.0,5.2587890625,6.3720703125,6.73828125,6.4306640625,5.625,5.4931640625,6.4892578125,7.03125,6.38671875,5.1416015625,0.0,6.8115234375,6.9580078125,6.5771484375,0.0,,,11.418951326049864,,5.776439211331308,0.43663952965289354,,11.236737482249737,3.4931162372231483,5.106337484903634,7.486960384994745e-2,5.66091388463974,0.8286768570542336,1.1106999590992928,1.5937368152663112,1.4971737982705235
24,11.381502590744939,9.66186262008396,0.0,6.533203125,7.2802734375,7.177734375,0.0,6.8994140625,7.236328125,7.7783203125,7.0751953125,0.0,5.9619140625,7.119140625,7.55859375,7.177734375,6.298828125,6.240234375,7.236328125,7.8369140625,7.20703125,5.888671875,0.0,7.6171875,7.8369140625,7.3974609375,0.0,,,7.844282663427293,,2.5871163234114647,0.43663952965289354,,10.184012353420258,2.7967843925580382,4.2016105726361275,9.581912308931351e-2,4.108244902454317,0.624994863756001,0.8609594078734517,1.3159081572666764,1.2730015441775322
25,9.632390688832574,10.638279427379985,0.0,7.529296875,8.3349609375,8.173828125,0.0,7.822265625,8.2470703125,8.7744140625,8.1005859375,0.0,6.8408203125,8.115234375,8.49609375,8.173828125,7.236328125,7.119140625,8.2470703125,8.8916015625,8.1591796875,6.767578125,0.0,8.61328125,8.90625,8.466796875,0.0,,,4.689708002842963,,1.6435375437140465,7.486960384994745e-2,,6.629414856433868,2.9426749097183347,2.1392066264525056,8.147209882736206e-2,2.8691114857792854,0.3233895404264331,0.39636099245399237,0.5252013215795159,1.1498975800350308
26,9.503209968271648,11.169364197867043,0.0,8.203125,9.0234375,8.8623046875,0.0,8.466796875,8.8623046875,9.462890625,8.73046875,0.0,7.3974609375,8.7451171875,9.19921875,8.8037109375,7.8662109375,7.67578125,8.876953125,9.580078125,8.84765625,7.3388671875,0.0,9.2431640625,9.5361328125,9.0966796875,0.0,,,2.5871163234114647,,1.4971737982705235,3.0174851417541504e-3,,4.016272723674774,2.1392066264525056,1.964271068572998,7.486960384994745e-2,1.6435375437140465,0.11175870895385742,0.43663952965289354,0.5490705370903015,0.6517767906188965
27,8.68476063781335,12.007825150347427,0.0,8.8916015625,9.78515625,9.55078125,0.0,9.1259765625,9.6240234375,10.224609375,9.4921875,0.0,7.96875,9.43359375,9.9462890625,9.55078125,8.49609375,8.3056640625,9.5654296875,10.3271484375,9.55078125,7.96875,0.0,9.990234375,10.283203125,9.84375,0.0,,,1.2310378951951861,,0.9984715143218637,4.71482053399086e-5,,3.2495014602318406,1.6435375437140465,1.2730015441775322,5.7220458984375e-2,1.1106999590992928,6.863381713628769e-2,0.2599734580144286,0.4161754623055458,0.3771856427192688
28,8.83663847507351,12.59356574352556,0.0,9.3896484375,10.341796875,10.1220703125,0.0,9.580078125,10.1220703125,10.78125,9.931640625,0.0,8.408203125,9.931640625,10.3857421875,9.990234375,8.935546875,8.7451171875,10.078125,10.8251953125,10.048828125,8.3349609375,0.0,10.4296875,10.78125,10.283203125,0.0,,,0.624994863756001,,0.8286768570542336,0.0,,2.1392066264525056,0.8940696716308594,1.404592185281217,3.8333237171173096e-2,0.7665529847145081,1.617183443158865e-2,0.21827872842550278,0.39636099245399237,0.15912519302219152
29,8.9288166575678,12.37050385696381,0.0,9.19921875,10.0927734375,9.873046875,0.0,9.3896484375,9.931640625,10.5322265625,9.7412109375,0.0,8.2177734375,9.7412109375,10.2099609375,9.7998046875,8.7451171875,8.5546875,9.8876953125,10.634765625,9.873046875,8.2177734375,0.0,10.2392578125,10.60546875,10.0927734375,0.0,7.844282663427293,,0.9984715143218637,7.562479586340487,0.9628152474761009,1.2730015441775322e-3,9.041483863256872,2.1997466683387756,0.5490705370903015,1.4503905549645424,2.124637831002474e-2,0.7076142355799675,8.579227142035961e-3,0.1699710264801979,0.3586389357224107,9.581912308931351e-2
30,8.672814703443029,12.661011718570467,0.0,9.3310546875,10.224609375,9.990234375,0.0,9.4482421875,9.990234375,10.6640625,9.873046875,0.0,8.2763671875,9.7998046875,10.3271484375,9.931640625,8.8037109375,8.61328125,9.9462890625,10.693359375,9.931640625,8.2763671875,0.0,10.37109375,10.72265625,10.224609375,0.0,8.279979228973389,,0.8609594078734517,6.757722585462034,0.6517767906188965,2.1827872842550278e-4,7.287507760338485,2.453327178955078,0.6517767906188965,0.928018125705421,1.0184012353420258e-2,0.7366907084360719,1.617183443158865e-2,9.581912308931351e-2,0.24553388357162476,0.1388374948874116
31,8.591282180979553,12.62240769390382,0.0,9.19921875,10.166015625,9.931640625,0.0,9.3896484375,9.931640625,10.60546875,9.7998046875,0.0,8.2177734375,9.7412109375,10.2685546875,9.873046875,8.7451171875,8.5546875,9.8876953125,10.634765625,9.873046875,8.2177734375,0.0,10.2392578125,10.6640625,10.166015625,0.0,7.987772114574909,,0.43663952965289354,7.702521979808807,0.9984715143218637,4.71482053399086e-5,7.562479586340487,2.079787664115429,0.4161754623055458,0.928018125705421,1.617183443158865e-2,0.7366907084360719,1.3969838619232178e-2,8.845177944749594e-2,0.23163913283497095,8.147209882736206e-2
32,7.6697588504259055,12.937003999512235,0.0,9.521484375,10.4150390625,10.1806640625,0.0,9.638671875,10.2392578125,10.8544921875,10.048828125,0.0,8.466796875,10.048828125,10.517578125,10.1220703125,8.994140625,8.8037109375,10.2099609375,10.9423828125,10.1806640625,8.466796875,0.0,10.5615234375,10.9130859375,10.4150390625,0.0,7.987772114574909,,0.6517767906188965,6.502741598524153,0.4161754623055458,3.771856427192688e-4,7.844282663427293,1.3597682118415833,0.5252013215795159,0.8286768570542336,1.859385520219803e-2,0.5736522143706679,4.791654646396637e-3,9.581912308931351e-2,0.15912519302219152,6.863381713628769e-2
33,8.392350537866443,13.220792160273872,0.0,9.638671875,10.60546875,10.37109375,0.0,9.7705078125,10.37109375,11.044921875,10.1806640625,0.0,8.583984375,10.1806640625,10.7080078125,10.3125,9.111328125,8.994140625,10.3271484375,11.1328125,10.3125,8.583984375,0.0,10.7373046875,11.103515625,10.60546875,0.0,5.323599907569587,,0.1699710264801979,3.748612361960113,0.624994863756001,1.7462298274040222e-6,5.776439211331308,1.3159081572666764,0.457763671875,0.5490705370903015,1.3969838619232178e-2,0.457763671875,1.2730015441775322e-3,6.863381713628769e-2,0.12035190593451262,0.11175870895385742
